ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24378,JC113580,01/11/2019 10:30:00 PM,000XX E IDA B WELLS DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0111,001,4,32,01A,,,2019,03/09/2019 03:58:58 PM,,,
24561,JC281195,05/27/2019 11:42:00 PM,085XX S CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,0834,008,18,70,01A,1145925,1847569,2019,07/27/2019 04:05:02 PM,41.737709752,-87.740958098,"(41.737709752, -87.740958098)"
24562,JC281250,05/28/2019 12:25:00 AM,018XX N MONTICELLO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,2535,025,1,22,01A,1151758,1911886,2019,05/09/2020 03:45:33 PM,41.914092032,-87.717899225,"(41.914092032, -87.717899225)"
24563,JC281514,05/28/2019 09:25:00 AM,012XX N MASON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2531,025,29,25,01A,1136467,1907694,2019,06/04/2019 04:10:41 PM,41.902876025,-87.774176927,"(41.902876025, -87.774176927)"
24567,JC283353,05/29/2019 02:24:00 PM,087XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0423,004,7,46,01A,1194656,1847614,2019,09/26/2019 04:16:20 PM,41.736774091,-87.562420599,"(41.736774091, -87.562420599)"
24566,JC283120,05/29/2019 11:42:00 AM,018XX W 57TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0715,007,15,67,01A,1164886,1866877,2019,06/05/2019 04:18:59 PM,41.790314426,-87.670944722,"(41.790314426, -87.670944722)"
24565,JC282752,05/29/2019 02:29:00 AM,078XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0623,006,6,69,01A,1178948,1853173,2019,06/05/2019 04:18:59 PM,41.752400342,-87.61980025,"(41.752400342, -87.61980025)"
24564,JC282729,05/29/2019 12:50:00 AM,066XX S BLACKSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,5,42,01A,1187337,1861066,2019,09/17/2019 04:10:05 PM,41.773864414,-87.588808175,"(41.773864414, -87.588808175)"
24568,JC284016,05/29/2019 09:37:00 PM,113XX S EDBROOKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0531,005,9,49,01A,1179224,1829773,2019,06/05/2019 04:18:59 PM,41.688181442,-87.619499848,"(41.688181442, -87.619499848)"
24495,JC228896,04/18/2019 10:36:00 AM,068XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0321,003,20,42,01A,1181416,1859851,2019,06/06/2019 04:02:57 PM,41.770668945,-87.610550542,"(41.770668945, -87.610550542)"
